AV Sync Test PCBA Bill of Materials,,,,,
The Android Open Source Project,,,,,
Copyright (C) 2013,,,,,
,,,,,
Part,Value,Package,Manufacturer,MPN,Digikey PN
C1,100uF,RADIAL,Panasonic Electronic Components,ECA-1CM101,P5138-ND
C2,10uF,1206 (3216 Metric),Taiyo Yuden,LMK316BJ106KL-T,587-1342-1-ND
C3,0.1uF,0805 (2012 Metric),Murata Electronics North America,GRM21BR71E104KA01L,490-1673-1-ND
C4,0.1uF,0805 (2012 Metric),Murata Electronics North America,GRM21BR71E104KA01L,490-1673-1-ND
C6,0.1uF,0805 (2012 Metric),Murata Electronics North America,GRM21BR71E104KA01L,490-1673-1-ND
C7,0.047uF,0805 (2012 Metric),Murata Electronics North America,GRM21BR71H473KA01L,490-1661-1-ND
C8,0.01uF,0805 (2012 Metric),Murata Electronics North America,GRM21BR71E104KA01L,490-1673-1-ND
C9,10uF,1206 (3216 Metric),Taiyo Yuden,LMK316BJ106KL-T,587-1342-1-ND
C10,0.01uF,0805 (2012 Metric),Murata Electronics North America,GRM216R71H103KA01D,490-1664-1-ND
C11,0.1uF,0805 (2012 Metric),Murata Electronics North America,GRM21BR71E104KA01L,490-1673-1-ND
C12,100pF,C0805,Murata Electronics North America,GRM2165C1H101JA01D,490-1615-1-ND
H1,MOUNT-HOLE3.6,"3,6",N/A,N/A,N/A
H2,MOUNT-HOLE3.6,"3,6",N/A,N/A,N/A
H3,MOUNT-HOLE3.6,"3,6",N/A,N/A,N/A
H4,MOUNT-HOLE3.6,"3,6",N/A,N/A,N/A
IC1,NE556DT,SO14,STMicroelectronics,NE556DT,497-1964-1-ND
J1,HIROSE_USB_MICROB,HIROSE_ZX62D-B-5P8,Hirose Electric Co Ltd,ZX62D-B-5P8,H11610CT-ND
J2,SJ-43516-SMT,SJ-4351X-SMT,CUI Inc.,SJ-43516-SMT-TR-BE,CP-43516SJBECT-ND
J3,SJ-43516-SMT,SJ-4351X-SMT,CUI Inc.,SJ-43516-SMT-TR-GR,CP-43516SJGRCT-ND
J4,,MTA03-100,TE Connectivity,3-641213-3,A30771-ND
J5,,MTA02-100,TE Connectivity,3-641213-2,A30770-ND
J6,,MTA06-100,TE Connectivity,3-641213-6,A30774-ND
LED1,,LED5MM,Lite-On Inc.,160-1702-ND,LTL-307GE
LED3,,LED5MM,Lite-On Inc.,160-1702-ND,LTL-307GE
XR1,AMS302,RADIAL,Panasonic Electric Works,255-2655-ND,AMS302
M1,ELECTRET_MICROPHON-F6035AP,F6035AP,CUI Inc.,102-1724-ND,CMC-5042PF-AC
R1,0,R0805,Panasonic Electronic Components,P0.0ACT-ND,ERJ-6GEY0R00V
R3,1K,R0805,Panasonic Electronic Components,P1.0KACT-ND,ERJ-6GEYJ102V
R4,27K,R0805,Panasonic Electronic Components,P27KACT-ND,ERJ-6GEYJ273V
R5,0,R0805,Panasonic Electronic Components,P0.0ACT-ND,ERJ-6GEY0R00V
R6,0,R0805,Panasonic Electronic Components,P0.0ACT-ND,ERJ-6GEY0R00V
R7,270,R0805,Panasonic Electronic Components,P270ACT-ND,ERJ-6GEYJ271V
R8,15K,R0805,Panasonic Electronic Components,P15KACT-ND,ERJ-6GEYJ153V
R10,270,R0805,Panasonic Electronic Components,P270ACT-ND,ERJ-6GEYJ271V
R11,100,R0805,Panasonic Electronic Components,P100ACT-ND,ERJ-6GEYJ101V
R14,2.2K,R0805,Panasonic Electronic Components,P2.2KACT-ND,ERJ-6GEYJ222V
R15,0,R0805,Panasonic Electronic Components,P0.0ACT-ND,ERJ-6GEY0R00V
R18,0,R0805,Panasonic Electronic Components,P0.0ACT-ND,ERJ-6GEY0R00V
R19,0,R0805,Panasonic Electronic Components,P0.0ACT-ND,ERJ-6GEY0R00V
TP1,5001 - BLACK,TP40MIL,Keystone Electronics,5001K-ND,5001
TP2,5000 - RED,TP40MIL,Keystone Electronics,5000K-ND,5000
TP3,5002 - WHITE,TP40MIL,Keystone Electronics,5002K-ND,5002
TP4,5115 - BROWN,TP40MIL,Keystone Electronics,5115K-ND,5115
TP5,5116 - GREEN,TP40MIL,Keystone Electronics,5116K-ND,5116
TP6,5003 - ORANGE,TP40MIL,Keystone Electronics,5003K-ND,5003
TP7,5004 - YELLOW,TP40MIL,Keystone Electronics,5004K-ND,5004
TP8,5117 - BLUE,TP40MIL,Keystone Electronics,5117K-ND,5117
TP9,5001 - BLACK,TP40MIL,Keystone Electronics,5001K-ND,5001
TP10,5001 - BLACK,TP40MIL,Keystone Electronics,5001K-ND,5001
